likes,body,url
62,"Объектно-ориентированное мышление (2014) 
 Автор: Мэтт Вайсфельд 
 Объектно-ориентированное программирование — это фундамент современных языков программирования, включая C++, Java, C#, Visual Basic, .NET, Ruby и Objective-C. Кроме того, объекты лежат в основе многих веб-технологий, например JavaScript, Python и PHP. 
 Объектно-ориентированное программирование обеспечивает правильные методики проектирования, переносимость кода и его повторное использование, однако для того, чтобы все это полностью понять, необходимо изменить свое мышление. Разработчики, являющиеся новичками в сфере объектно-ориентированного программирования, не должны поддаваться искушению перейти непосредственно к конкретному языку программирования (например, Objective-C, VB .NET, C++, C#, .NET или Java) или моделирования (например, UML), а вместо этого сначала уделить время освоению того, что автор книги Мэтт Вайсфельд называет объектно-ориентированным мышлением. 
 Несмотря на то, что технологии программирования изменяются и эволюционируют с годами, объектно-ориентированные концепции остаются прежними — при этом неважно, какой именно является платформа. 
  
 #book@php2all #oop@php2all 
  
  Книги в альбоме https://vk.com/php2all/book",pass
113,Тайна раскрыта,pass
69,"Git для профессионального программиста 

 
 Эта книга представляет собой обновленное руководство по использованию Git в современных условиях. С тех пор как проект Git — распределенная система управления версиями — был создан Линусом Торвальдсом, прошло много лет, и система Git превратилась в доминирующую систему контроля версий, как для коммерческих целей, так и для проектов с открытым исходным кодом. Эффективный и хорошо реализованный контроль версий необходим для любого успешного веб-проекта. Постепенно эту систему приняли на вооружение практически все сообщества разработчиков ПО с открытым исходным кодом. Появление огромного числа графических интерфейсов для всех платформ и поддержка IDE позволили внедрить Git в операционные системы семейства Windows. Второе издание книги было обновлено для Git-версии 2.0 и уделяет большое внимание GitHub. 
 
 #book@php2all #git@php2all 
 
 (Больше книг тут https://vk.com/php2all/book )",pass
79,"Создание мессенджера для Android на Java 
  
 Серия уроков по созданию собственного мессенджера для Android на языке Java с использованием Android Studio и облачных сервисов Firebase Realtime Database. 
  
 1. Подключение Firebase Realtime Database 
 2. Создание интерфейса 
 3. Отправка и получение сообщений 
 4. Вывод сообщений из базы данных 
 #java   #mobile   
  
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
19,Джун сломал билд,pass
85,,pass
39,"Золотой фонд технической литературы по программированию. 
  
 Не для чайников! Всем обязательно к прочтению, вне зависимости от языка. 
 #book@php2all 
  
  (литература по программированию https://vk.com/php2all/book )",pass
111,,pass
67,"Супер мозг. Методики развития памяти 
  
 1. Что такое кратковременная память? 
 2. Как улучшить свою память. Повторение - мать учения! 
 3. Развитие памяти. Преувеличение 
 4. Развитие памяти. Разбиваем на части 
 5. Развитие памяти. Ассоциации 
 6. Развитие памяти. Картинки 
 7. Развитие памяти. Использование мнемонических устройств 
 8. Развитие памяти. Методики конспектирования 
 9. Развитие памяти. Использование песен, стихов и аллитераций 
 10. Развитие памяти. Метод истории 
  
 Все видео в альбоме: https://vk.cc/7aAIiF 
  
 #video   #interesting   
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
32,Джун спёр таск у тимлида,pass
33,"Подборка книг по хакингу и тестированию на проникновение 
 [Language: English] 
 1. DDoS Attacks: Evolution, Detection, Prevention, Reaction, and Tolerance 
 Author: D. Bhattacharyya, J. Kalita 
 Pub Date: 2016 
 ************************* 
 2. The Hardware Hacker: Adventures in Making and Breaking Hardware 
 Author: Andrew 'bunnie' Huang 
 Pub Date: 2016 
 ************************* 
 3. Hacker’s Elusive Thoughts The Web 
 Author: Vladimir Stojanovic 
 Pub Date: 2016 
 ************************* 
 4. Cloud Computing Security: Foundations and Challenges 
 Author: John R. Vacca 
 Pub Date: 2016 
 ************************* 
 5. Game Hacking: Developing Autonomous Bots for Online Games 
 Author: Cano 
 Pub Date: 2016 
 ************************* 
 #book@php2all #hack@php2all #qa@php2all 
  
  
  
  
  
  (литература по программированию https://vk.com/php2all/book )",pass
45,"Редактор VS Code-Топ 5 плагинов для расширения работы 
  
 - Настройка русского языка в VS Code 
 - Авто обновление браузера во время верстки 
 - Две крутых темы и иконки для оформления VS Code 
 - Авто выравнивание кода плагином Prettier. 
 #javascript   
  
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
74,"Командная строка Linux 
 В курсе рассказывается как применять автоматизацию при использовании ежедневных задач. Приводится много примеров как использовать команды BASH. 
 #video #linux #bash 
 
 
 #video@php2all больше видео в нашем каталоге https://vk.com/videos-3183750",pass
44,,pass
18,ФРОНТЕНД-ДАЙДЖЕСТ 418,pass
48,"Память не изменяет. Задачи и головоломки для развития интеллекта и памяти 
  
 О книге 
 Книга, которая поможет развить память и сохранить интеллект до глубокой старости. Вы узнаете больше о свойствах человеческого мозга и укрепите свою память, решая занимательные головоломки. 
  
 «Улучшить память не только возможно, это еще и интересно», — говорит психолог Анхельс Наварро. Вы согласитесь с этим утверждением, когда начнете выполнять увлекательные упражнения для тренировки мозга. 
  
 Игры и задачи подходят для любого возраста: молодые люди улучшат внимание и концентрацию, люди среднего возраста — поддержат свою память на хорошем уровне и, наконец, люди старшего возраста с помощью этой книги компенсируют возрастные нарушения. 
  
 Фишки книги 
  
 Методы и приемы улучшения памяти предложены в игровой форме и задействуют воображение. 
 Упражнения разделены по уровням: легкий, средний, сложный и очень сложный. Это позволит читателю создать собственный план тренировки памяти. 
 #book@php2all #interesting@php2all 
  
  (Больше книг тут https://vk.com/php2all/book )",pass
70,"C# после ЕГЭ (2019) 
 #video   #csharp   
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
